timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,EMA_21,EMA_100,ATR_14,ADX_14
2025-11-04 09:30:00,159.62,160.33,159.55,159.89,14905.481,1762248899999,2385741.50571,10649,11374.40700000,1820629.25278000,0,159.63545454545454,159.61554455445545,0.7707142857142953,100.0
2025-11-04 09:35:00,159.88,160.33,159.25,160.1,9443.173,1762249199999,1509520.98159,10063,4644.54100000,742320.03644000,0,159.6776859504132,159.62513773159495,0.7928061224489895,98.79275653923537
2025-11-04 09:40:00,160.09,160.43,159.92,160.17,9963.128,1762249499999,1596364.8982,10134,6284.57500000,1006986.14836000,0,159.7224417731029,159.63592708344456,0.772605685131206,97.70728925150716
2025-11-04 09:45:00,160.17,160.31,159.88,159.96,10315.106,1762249799999,1651591.92072,10934,6010.37100000,962361.51000000,0,159.74403797554808,159.6423443689209,0.7481338504789775,96.53511329267727
2025-11-04 09:50:00,159.96,160.22,159.39,159.43,13641.455,1762250099999,2178909.35394,12429,8413.76500000,1344008.70116000,0,159.71548906868009,159.63813952993237,0.7539814325876228,93.6104526734366
2025-11-04 09:55:00,159.42,160.46,159.36,160.39,17602.944,1762250399999,2814248.68622,12314,10555.27200000,1687348.74905000,0,159.77680824425462,159.65302785607233,0.7786970445456495,91.11544076552302
2025-11-04 10:00:00,160.38,160.79,160.24,160.29,14293.906,1762250699999,2294348.11194,17420,6928.41200000,1111980.63265000,0,159.82346204023148,159.66564116585306,0.7623615413638162,89.07435835527008
2025-11-04 10:05:00,160.3,160.69,160.29,160.42,12865.343,1762250999999,2064388.47924,12338,5991.39500000,961454.21819000,0,159.8776927638468,159.68057896454906,0.7364785741235441,87.17906754574949
2025-11-04 10:10:00,160.41,160.83,160.28,160.39,10121.761,1762251299999,1625413.82551,11007,5710.86300000,917131.80732000,0,159.92426614895163,159.6946269058451,0.7231586759718632,85.53673464632564
2025-11-04 10:15:00,160.39,161.09,160.39,160.88,25235.652,1762251599999,4057673.34655,13023,17326.95900000,2785740.89123000,0,160.01115104450147,159.71809964038283,0.7215044848310171,84.21837432221358
2025-11-04 10:20:00,160.87,161.03,160.34,160.49,11374.961,1762251899999,1828812.32398,12035,5878.67200000,945255.26999000,0,160.05468276772862,159.7333847960188,0.7192541644859444,82.79779506489655
2025-11-04 10:25:00,160.5,160.99,160.5,160.64,13171.334,1762252199999,2116499.69508,9408,5846.00600000,939242.58340000,0,160.10789342520783,159.75133757233527,0.7035931527369483,81.47868575453073
2025-11-04 10:30:00,160.63,161.4,160.61,161.15,15312.913,1762252499999,2465327.99917,12049,11274.18000000,1815199.96114000,0,160.20263038655258,159.7790338580316,0.7097650703985943,80.59856852157985
2025-11-04 10:35:00,161.15,161.18,160.46,160.94,15389.696,1762252799999,2473066.92895,13591,5742.03000000,922930.78579000,0,160.26966398777506,159.80202328658544,0.7104961367986946,79.16973655277167
2025-11-04 10:40:00,160.95,161.16,160.55,160.6,13727.514,1762253099999,2208870.75435,12343,7991.80100000,1285957.57018000,0,160.29969453434094,159.81782480566295,0.7033178413130725,77.84296401030693
2025-11-04 10:45:00,160.6,160.86,160.01,160.12,13071.154,1762253399999,2096662.91034,14527,5447.91100000,874081.02353000,0,160.2833586675827,159.82380847287754,0.7137951383621405,74.60969779449991
2025-11-04 10:50:00,160.12,160.58,159.95,160.2,23909.65,1762253699999,3832731.21038,12109,14116.71500000,2263432.00888000,0,160.27578060689333,159.83125781004827,0.707809771336275,71.41373222933984
2025-11-04 10:55:00,160.2,160.67,159.98,160.49,15753.487,1762253999999,2525307.65155,11018,11384.81300000,1824948.99633000,0,160.29525509717575,159.84430220984927,0.7065376448122552,68.60623828972292
2025-11-04 11:00:00,160.48,161.11,160.33,160.86,27599.062,1762254299999,4434680.16951,13330,16371.09800000,2630852.12814000,0,160.34659554288706,159.864415037377,0.7117849558970942,66.69805380132394
2025-11-04 11:05:00,160.86,161.78,160.8,161.52,44864.176,1762254599999,7243024.67516,17516,32062.52500000,5177019.93188000,0,160.45326867535186,159.897198898023,0.7309431733330154,65.71948371332071
2025-11-04 11:10:00,161.52,161.75,161.18,161.29,16023.146,1762254899999,2586752.50053,10538,9353.27500000,1509975.74988000,0,160.52933515941078,159.92477911786412,0.7194472323806567,64.81081148874628
2025-11-04 11:15:00,161.28,161.99,161.15,161.77,20120.506,1762255199999,3252715.0251,12576,13035.34900000,2107810.49354000,0,160.64212287219163,159.96131814523312,0.7280581443534672,64.21401486129847
2025-11-04 11:20:00,161.77,162.25,161.46,161.46,21549.1,1762255499999,3487779.25427,12064,15033.66500000,2433318.01604000,0,160.71647533835605,159.99099501364435,0.7324825626139332,63.905684413927546
2025-11-04 11:25:00,161.45,161.59,161.14,161.38,10951.897,1762255799999,1767376.75488,7922,6630.04100000,1069984.41305000,0,160.77679576214183,160.0185000628791,0.7123052367129392,62.53632201438818
2025-11-04 11:30:00,161.38,161.64,161.17,161.37,10540.163,1762256099999,1701441.5715,11563,5186.91900000,837318.55693000,0,160.83072342012895,160.04526243787157,0.694997719804872,61.32677127655685
2025-11-04 11:35:00,161.38,161.79,161.23,161.75,8823.537,1762256399999,1425195.4454,9627,5499.25900000,888386.15552000,0,160.91429401829905,160.07901961731966,0.6853550255330956,60.39125749747077
2025-11-04 11:40:00,161.74,161.96,161.51,161.94,8704.438,1762256699999,1407574.40819,8054,5414.02000000,875563.31034000,0,161.0075400166355,160.1158707140064,0.6685439522807328,59.72839234652172
2025-11-04 11:45:00,161.93,161.96,161.4,161.41,6864.536,1762256999999,1110331.13767,8389,2833.07900000,458366.02255000,0,161.04412728785044,160.14149703650133,0.6607908128321092,58.70986284777822
2025-11-04 11:50:00,161.42,161.7,161.35,161.52,5326.848,1762257299999,860342.61012,7252,2658.05400000,429307.87914000,0,161.0873884435004,160.16879412488746,0.6385914690583867,57.577581661637446
2025-11-04 11:55:00,161.53,161.92,161.41,161.71,13194.436,1762257599999,2132211.16676,8856,5351.88800000,865133.94847000,0,161.14398949409127,160.19931305310752,0.6294063641256442,56.84611158174209
2025-11-04 12:00:00,161.71,162.46,161.54,162.29,20068.202,1762257899999,3251825.87486,14200,13636.30400000,2209514.17047000,0,161.2481722673557,160.24071279463016,0.650163052402385,56.81252375500013
2025-11-04 12:05:00,162.3,162.54,161.6,161.76,12124.426,1762258199999,1965170.12242,12725,6133.83900000,994160.76934000,0,161.29470206123247,160.270797689786,0.6708656915165002,56.864388191680796
2025-11-04 12:10:00,161.76,161.81,161.15,161.4,14718.481,1762258499999,2375539.04767,10010,3857.51600000,622897.66578000,0,161.30427460112043,160.29315813157243,0.6700895706938929,55.34825030167321
2025-11-04 12:15:00,161.39,161.49,161.08,161.42,16779.145,1762258799999,2706300.69293,11561,7282.82000000,1174692.28876000,0,161.31479509192766,160.31547183193732,0.6515117442157574,53.71991865023358
2025-11-04 12:20:00,161.42,161.6,160.84,160.91,13424.885,1762259099999,2164093.13947,11084,3960.15800000,638433.31718000,0,161.27799553811604,160.32724466694845,0.6592609053432027,51.47397999853045
2025-11-04 12:25:00,160.91,161.38,160.88,161.24,23409.917,1762259399999,3772465.49509,9936,11236.11200000,1810694.25172000,0,161.2745413982873,160.34531902997918,0.6478851263901168,49.3884655362347
2025-11-04 12:30:00,161.23,161.65,161.1,161.43,11700.043,1762259699999,1887598.22732,9263,5916.19900000,954370.08304000,0,161.28867399844302,160.36679786106868,0.6408933316479665,47.961825530906665
2025-11-04 12:35:00,161.43,161.52,160.96,161.01,9800.772,1762259999999,1579368.638,10207,4595.62500000,740609.47908000,0,161.26333999858454,160.37953453708712,0.6351152365302547,46.186110337674265
2025-11-04 12:40:00,161.02,161.36,161.02,161.14,10540.885,1762260299999,1699415.17122,7733,4947.86000000,797673.73047000,0,161.2521272714405,160.394593259125,0.614749862492381,44.53723194395846
2025-11-04 12:45:00,161.14,161.89,160.82,161.83,18292.254,1762260599999,2952975.97111,10802,8203.34900000,1324296.70898000,0,161.304661155855,160.4230171549839,0.6472677294572105,43.97510668508939
2025-11-04 12:50:00,161.82,162.0,161.62,161.82,8240.621,1762260899999,1333202.53622,9295,4580.49900000,741136.45184000,0,161.35151014168636,160.4506801816179,0.6281771773531236,43.6247382586874
2025-11-04 12:55:00,161.81,161.88,161.42,161.43,7780.542,1762261199999,1257671.45902,6090,3321.55800000,536906.89894000,0,161.35864558335123,160.47007265326903,0.6161645218279012,42.61257712589752
2025-11-04 13:00:00,161.42,161.94,161.37,161.7,12407.712,1762261499999,2006395.4563,10482,7975.75000000,1289794.51644000,0,161.38967780304657,160.494427650234,0.6128670559830507,41.78281387312427
2025-11-04 13:05:00,161.69,161.75,160.81,161.03,28448.208,1762261799999,4587932.11214,16619,10553.87400000,1702240.70935000,0,161.35697982095144,160.50503304329865,0.636233694841404,39.32741440317266
